Memory (MB),Test run,Initialization time (s),Invocation time (s)
512,1,3.9,4.3
512,2,3.7,3.9
512,3,3.8,3.8
512,4,3.8,3.9
512,5,3.8,4.4
1024,1,3.7,1.9
1024,2,3.3,2
1024,3,3.9,2.1
1024,4,3.7,2
1024,5,3.7,2.2
2048,1,3.4,1.2
2048,2,3.3,1
2048,3,3.3,0.9
2048,4,3.3,1
2048,5,3.3,0.9
4096,1,2.5,0.64
4096,2,2.6,0.65
4096,3,2.5,0.64
4096,4,2.5,0.63
4096,5,2.6,0.65
6144,1,2.5,0.62
6144,2,2.5,0.61
6144,3,2.6,0.68
6144,4,2.6,0.73
6144,5,2.4,0.56
8192,1,2.6,0.62
8192,2,2.5,0.61
8192,3,2.5,0.61
8192,4,2.8,0.64
8192,5,2.4,0.58
10240,1,2.5,0.6
10240,2,2.5,0.61
10240,3,2.4,0.6
10240,4,2.2,0.54
10240,5,2.5,0.6
